study_name,instrument_name,question_name,concept_name
soep-core,soep-core-2016-hh,0,hnr
soep-core,soep-core-2016-hh,0,name
soep-core,soep-core-2016-hh,0,pnr
soep-core,soep-core-2016-hh,1,hwsit
soep-core,soep-core-2016-hh,2,hwm
soep-core,soep-core-2016-hh,2,hwj
soep-core,soep-core-2016-hh,3,hwohn08
soep-core,soep-core-2016-hh,4,hhtyp
soep-core,soep-core-2016-hh,5,hwohn9
soep-core,soep-core-2016-hh,6,howhn09a
soep-core,soep-core-2016-hh,6,hbauj
soep-core,soep-core-2016-hh,7,hheim
soep-core,soep-core-2016-hh,7,hheimso
soep-core,soep-core-2016-hh,8,humb
soep-core,soep-core-2016-hh,9,hqm
soep-core,soep-core-2016-hh,10,hraum
soep-core,soep-core-2016-hh,11,hgr
soep-core,soep-core-2016-hh,12,hwohn24
soep-core,soep-core-2016-hh,12,hwohn21
soep-core,soep-core-2016-hh,12,hwohn15
soep-core,soep-core-2016-hh,12,hwohn17
soep-core,soep-core-2016-hh,12,hwohn18
soep-core,soep-core-2016-hh,12,hwohn19
soep-core,soep-core-2016-hh,12,hwohn20
soep-core,soep-core-2016-hh,12,hwohn22
soep-core,soep-core-2016-hh,12,hwohn26
soep-core,soep-core-2016-hh,12,hwohn27
soep-core,soep-core-2016-hh,12,hwohn23
soep-core,soep-core-2016-hh,12,hwohn16
soep-core,soep-core-2016-hh,12,hwohn28
soep-core,soep-core-2016-hh,13,hew1
soep-core,soep-core-2016-hh,14,hew2
soep-core,soep-core-2016-hh,14,hew3
soep-core,soep-core-2016-hh,14,hew4
soep-core,soep-core-2016-hh,15,hm01
soep-core,soep-core-2016-hh,16,he01
soep-core,soep-core-2016-hh,17,he02
soep-core,soep-core-2016-hh,18,hepz1
soep-core,soep-core-2016-hh,19,hepz2
soep-core,soep-core-2016-hh,20,he17
soep-core,soep-core-2016-hh,21,he18
soep-core,soep-core-2016-hh,22,hegs
soep-core,soep-core-2016-hh,22,hegsno
soep-core,soep-core-2016-hh,23,he04
soep-core,soep-core-2016-hh,23,he04no
soep-core,soep-core-2016-hh,24,he16
soep-core,soep-core-2016-hh,24,he16no
soep-core,soep-core-2016-hh,25,he05
soep-core,soep-core-2016-hh,25,he05no
soep-core,soep-core-2016-hh,26,hsolst
soep-core,soep-core-2016-hh,27,hsolst3
soep-core,soep-core-2016-hh,27,hsolst4
soep-core,soep-core-2016-hh,28,hsolw
soep-core,soep-core-2016-hh,29,hsolw1
soep-core,soep-core-2016-hh,29,hsolw2
soep-core,soep-core-2016-hh,30,htzbel
soep-core,soep-core-2016-hh,31,hm03
soep-core,soep-core-2016-hh,32,hm02
soep-core,soep-core-2016-hh,33,hm13
soep-core,soep-core-2016-hh,34,hm04
soep-core,soep-core-2016-hh,34,hm04
soep-core,soep-core-2016-hh,34,hm05
soep-core,soep-core-2016-hh,35,hheizink
soep-core,soep-core-2016-hh,36,hm07
soep-core,soep-core-2016-hh,36,hm08
soep-core,soep-core-2016-hh,37,hstrink
soep-core,soep-core-2016-hh,38,hm14
soep-core,soep-core-2016-hh,38,hm15
soep-core,soep-core-2016-hh,39,hnebink
soep-core,soep-core-2016-hh,40,hm10
soep-core,soep-core-2016-hh,40,hm11
soep-core,soep-core-2016-hh,41,hwkbel
soep-core,soep-core-2016-hh,42,h2wohn1
soep-core,soep-core-2016-hh,43,h2wplz1
soep-core,soep-core-2016-hh,43,h2wplz2
soep-core,soep-core-2016-hh,43,h2wplz3
soep-core,soep-core-2016-hh,43,h2wplz4
soep-core,soep-core-2016-hh,44,h2wohn3
soep-core,soep-core-2016-hh,45,hverm1
soep-core,soep-core-2016-hh,46,hverm2
soep-core,soep-core-2016-hh,47,hverm3a
soep-core,soep-core-2016-hh,48,hverm3
soep-core,soep-core-2016-hh,49,hverm4a
soep-core,soep-core-2016-hh,50,hverm4
soep-core,soep-core-2016-hh,51,hverm5
soep-core,soep-core-2016-hh,52,hverm6
soep-core,soep-core-2016-hh,53,hkred1
soep-core,soep-core-2016-hh,54,hkred2
soep-core,soep-core-2016-hh,55,hkred3
soep-core,soep-core-2016-hh,56,hvw1
soep-core,soep-core-2016-hh,57,hvw1a
soep-core,soep-core-2016-hh,58,hvw2
soep-core,soep-core-2016-hh,59,hvw2a
soep-core,soep-core-2016-hh,60,hvw3
soep-core,soep-core-2016-hh,61,hvw3a
soep-core,soep-core-2016-hh,62,hwa1
soep-core,soep-core-2016-hh,62,hwa2
soep-core,soep-core-2016-hh,62,hwa3
soep-core,soep-core-2016-hh,62,hwa4
soep-core,soep-core-2016-hh,62,hwa5
soep-core,soep-core-2016-hh,62,hwa6
soep-core,soep-core-2016-hh,62,hwa7
soep-core,soep-core-2016-hh,63,hwa8
soep-core,soep-core-2016-hh,63,hwa9
soep-core,soep-core-2016-hh,64,hzins1
soep-core,soep-core-2016-hh,64,hzinswn
soep-core,soep-core-2016-hh,65,hzins2
soep-core,soep-core-2016-hh,66,hlkg1
soep-core,soep-core-2016-hh,66,hlkg2
soep-core,soep-core-2016-hh,66,hlkg3
soep-core,soep-core-2016-hh,66,hlkz1
soep-core,soep-core-2016-hh,66,hlkz2
soep-core,soep-core-2016-hh,66,hlkz3
soep-core,soep-core-2016-hh,66,hlbg1
soep-core,soep-core-2016-hh,66,hlbg2
soep-core,soep-core-2016-hh,66,hlbg3
soep-core,soep-core-2016-hh,66,hlag1
soep-core,soep-core-2016-hh,66,hlag2
soep-core,soep-core-2016-hh,66,hlag3
soep-core,soep-core-2016-hh,66,hlpg1
soep-core,soep-core-2016-hh,66,hlpg2
soep-core,soep-core-2016-hh,66,hlpg3
soep-core,soep-core-2016-hh,66,hlsh1
soep-core,soep-core-2016-hh,66,hlsh2
soep-core,soep-core-2016-hh,66,hlsh3
soep-core,soep-core-2016-hh,66,hlgs1
soep-core,soep-core-2016-hh,66,hlgs2
soep-core,soep-core-2016-hh,66,hlgs3
soep-core,soep-core-2016-hh,66,hlwg1
soep-core,soep-core-2016-hh,66,hlwg2
soep-core,soep-core-2016-hh,66,hlwg3
soep-core,soep-core-2016-hh,67,hdkg1
soep-core,soep-core-2016-hh,67,hdkg2
soep-core,soep-core-2016-hh,67,hdkg3
soep-core,soep-core-2016-hh,67,hdkz1
soep-core,soep-core-2016-hh,67,hdkz2
soep-core,soep-core-2016-hh,67,hdbg1
soep-core,soep-core-2016-hh,67,hdbg2
soep-core,soep-core-2016-hh,67,hdag1
soep-core,soep-core-2016-hh,67,hdag2
soep-core,soep-core-2016-hh,67,hdpg1
soep-core,soep-core-2016-hh,67,hdpg2
soep-core,soep-core-2016-hh,67,hdsh1
soep-core,soep-core-2016-hh,67,hdsh2
soep-core,soep-core-2016-hh,67,hdgs1
soep-core,soep-core-2016-hh,67,hdgs2
soep-core,soep-core-2016-hh,67,hdwg1
soep-core,soep-core-2016-hh,67,hdwg2
soep-core,soep-core-2016-hh,68,hnetto
soep-core,soep-core-2016-hh,69,hspar1a
soep-core,soep-core-2016-hh,69,hspar2a
soep-core,soep-core-2016-hh,69,hspar1b
soep-core,soep-core-2016-hh,69,hspar2b
soep-core,soep-core-2016-hh,69,hspar1
soep-core,soep-core-2016-hh,70,hspar3
soep-core,soep-core-2016-hh,70,hspar4
